level,run,original_mean,boot_mean,ci_level,ci_lower,ci_upper,instrument,nominal
data_SRP_135,28,132.044444444444,132.051880555556,0.95,130.536111111111,133.461111111111,SRP,135
data_SRP_135,29,132.044444444444,132.045975277778,0.95,130.530994159568,133.464652892489,SRP,135
data_SRP_135,30,132.044444444444,132.037910833333,0.95,130.541666666667,133.502777777778,SRP,135
data_SRP_180,1,181.972222222222,181.970375277778,0.95,181.071184041846,182.711111111111,SRP,180
data_SRP_180,2,181.972222222222,181.975331944444,0.95,181.080555555556,182.7,SRP,180
data_SRP_180,3,181.972222222222,181.972199722222,0.95,181.061111111111,182.697222222222,SRP,180
data_SRP_180,4,181.972222222222,181.967102777778,0.95,181.042899423687,182.713888888889,SRP,180
data_SRP_180,5,181.972222222222,181.973079166667,0.95,181.094444444444,182.725,SRP,180
data_SRP_180,6,181.972222222222,181.9690375,0.95,181.063888888889,182.710673907774,SRP,180
data_SRP_180,7,181.972222222222,181.968923888889,0.95,181.083333333333,182.711111111111,SRP,180
data_SRP_180,8,181.972222222222,181.975146388889,0.95,181.069444444444,182.713888888889,SRP,180
data_SRP_180,9,181.972222222222,181.968541111111,0.95,181.072222222222,182.713888888889,SRP,180
data_SRP_180,10,181.972222222222,181.973289166667,0.95,181.086111111111,182.719444444444,SRP,180
data_SRP_180,11,181.972222222222,181.971323611111,0.95,181.069444444444,182.716666666667,SRP,180
data_SRP_180,12,181.972222222222,181.969612777778,0.95,181.058333333333,182.722222222222,SRP,180
data_SRP_180,13,181.972222222222,181.973173055556,0.95,181.077777777778,182.728272697555,SRP,180
data_SRP_180,14,181.972222222222,181.971550833333,0.95,181.083333333333,182.725,SRP,180
data_SRP_180,15,181.972222222222,181.969254722222,0.95,181.066666666667,182.710351180799,SRP,180
data_SRP_180,16,181.972222222222,181.972603888889,0.95,181.097645126312,182.711111111111,SRP,180
data_SRP_180,17,181.972222222222,181.980349722222,0.95,181.05,182.694444444444,SRP,180
data_SRP_180,18,181.972222222222,181.975271666667,0.95,181.075,182.703182383429,SRP,180
data_SRP_180,19,181.972222222222,181.975749166667,0.95,181.069650101619,182.708333333333,SRP,180
data_SRP_180,20,181.972222222222,181.973188333333,0.95,181.041666666667,182.722222222222,SRP,180
data_SRP_180,21,181.972222222222,181.975934722222,0.95,181.083333333333,182.716666666667,SRP,180
data_SRP_180,22,181.972222222222,181.969375833333,0.95,181.063888888889,182.705555555556,SRP,180
data_SRP_180,23,181.972222222222,181.961705,0.95,181.094819490254,182.711111111111,SRP,180
data_SRP_180,24,181.972222222222,181.968805833333,0.95,181.094444444444,182.705905183974,SRP,180
data_SRP_180,25,181.972222222222,181.972585555556,0.95,181.083333333333,182.725,SRP,180
data_SRP_180,26,181.972222222222,181.971905277778,0.95,181.080555555556,182.702777777778,SRP,180
data_SRP_180,27,181.972222222222,181.975019444444,0.95,181.055512456215,182.705555555556,SRP,180
data_SRP_180,28,181.972222222222,181.970803333333,0.95,181.055555555556,182.719444444444,SRP,180
data_SRP_180,29,181.972222222222,181.970545555556,0.95,181.066106060122,182.711111111111,SRP,180
data_SRP_180,30,181.972222222222,181.982433055556,0.95,181.008333333333,182.694444444444,SRP,180
data_SRP_02,1,-0.0388888888888889,-0.0386563888888889,0.95,-0.0833333333333333,-0.0111111111111111,SRP,02
data_SRP_02,2,-0.0388888888888889,-0.0390088888888889,0.95,-0.0805555555555556,-0.0111111111111111,SRP,02
data_SRP_02,3,-0.0388888888888889,-0.0389480555555556,0.95,-0.0805555555555556,-0.0111111111111111,SRP,02
data_SRP_02,4,-0.0388888888888889,-0.0387125,0.95,-0.0805555555555556,-0.0111111111111111,SRP,02
data_SRP_02,5,-0.0388888888888889,-0.0387777777777778,0.95,-0.0833333333333333,-0.0111111111111111,SRP,02
data_SRP_02,6,-0.0388888888888889,-0.0388055555555556,0.95,-0.0833333333333333,-0.0111111111111111,SRP,02
data_SRP_02,7,-0.0388888888888889,-0.0389422222222222,0.95,-0.0805555555555556,-0.0111111111111111,SRP,02
data_SRP_02,8,-0.0388888888888889,-0.0389675,0.95,-0.0805555555555556,-0.0111111111111111,SRP,02
data_SRP_02,9,-0.0388888888888889,-0.0390344444444444,0.95,-0.0805555555555556,-0.0111111111111111,SRP,02
data_SRP_02,10,-0.0388888888888889,-0.0388680555555556,0.95,-0.0833333333333333,-0.0111111111111111,SRP,02
data_SRP_02,11,-0.0388888888888889,-0.0386583333333333,0.95,-0.0833333333333333,-0.0111111111111111,SRP,02
data_SRP_02,12,-0.0388888888888889,-0.0388519444444444,0.95,-0.0805555555555556,-0.00833333333333333,SRP,02
data_SRP_02,13,-0.0388888888888889,-0.0383658333333333,0.95,-0.0805555555555556,-0.0111111111111111,SRP,02
data_SRP_02,14,-0.0388888888888889,-0.0388394444444444,0.95,-0.0833333333333333,-0.0111111111111111,SRP,02
data_SRP_02,15,-0.0388888888888889,-0.0389877777777778,0.95,-0.081110712618044,-0.0111111111111111,SRP,02
data_SRP_02,16,-0.0388888888888889,-0.0390805555555556,0.95,-0.0805555555555556,-0.0111111111111111,SRP,02
data_SRP_02,17,-0.0388888888888889,-0.0386091666666667,0.95,-0.0805555555555556,-0.0111111111111111,SRP,02
data_SRP_02,18,-0.0388888888888889,-0.0389438888888889,0.95,-0.0805555555555556,-0.0111111111111111,SRP,02
data_SRP_02,19,-0.0388888888888889,-0.0388744444444444,0.95,-0.0805555555555556,-0.00833333333333333,SRP,02
data_SRP_02,20,-0.0388888888888889,-0.0388175,0.95,-0.0805555555555556,-0.0111111111111111,SRP,02
